Publisher,Mother Company,In Global 50,* Distribution으로 명명되는 Term - 해외 수출을 위해 거치는 유통 출판사. 유럽의 독립 출판사가 미국으로 수출하기 위해 Simon & Schuster를 거치는 것이 대표적인 예시.
Simon & Schuster,Simon & Schuster,,
Rockridge Press,Rockridge Press,X,
Little Brown Books for Young Readers,Hachette Livre,,
The Dial Press,Penguin Random House,,
Beacon Press,Beacon Press,X,
Scholastic Press,Scholastic,,
One World,One World,X,
Penguin Books,Penguin Random House,,
Graphix,Scholastic,,
Flatiron Books,Holtzbrink,,
HarperCollinsPublishers,HarperCollins,,
Threshold Editions,Simon & Schuster,,
Crown,Penguin Random House,,
Sourcebooks Wonderland,Sourcebooks,X,
Random House,Penguin Random House,,
WaterBrook,Penguin Random House,,
TarcherPerigee,Penguin Random House,,
HarperOne,HarperCollins,,
Workman Publishing Company,Workman Publishing Company,X,
Tiger Tales,Tiger Tales,X,
Little Simon,Simon & Schuster,,
Skyhorse Publishing,Skyhorse Publishing,X,
Independently published,Independently published ,X,
HarperCollins,HarperCollins,,
Seal Press,Hachette Livre,,
Riverhead Books,Penguin Random House,,
Bold Type Books,Hachette Livre,,
Modern Kid Press,Modern Kid Press ,X,
MCD,Holtzbrink,,
School Zone Publishing,School Zone Publishing,X,
Liveright,W.W. Norton,X,
Teaching Resources,Teaching Resources,X,
Penguin Young Readers Licenses,Penguin Random House,,
Warner,Warner Music Group,X,
Hogarth,Penguin Random House,,
Pamela Dorman Books,Penguin Random House,,
Hay House Inc.,Hay House Inc.,X,
IXL Learning,IXL Learning ,X,
WaterBrook Press,Penguin Random House,,
Clarkson Potter,Penguin Random House,,
Harry N. Abrams,La Martinière Groupe,,
Puffin Books,Penguin Random House,,
G.P. Putnam's Sons,Penguin Random House,,
Thomas Nelson on Brilliance Audio,HarperCollins,,
Random House Books for Young Readers,Penguin Random House,,
Northfield Publishing,Moody Bible Institute,X,
Harpercollins Leadership,HarperCollins,,
Scholastic Paperbacks,Scholastic,,
Harper,HarperCollins,,
CreateSpace Independent Publishing Platform,CreateSpace,X,
Simon and Schuster,Simon & Schuster,,
World of Eric Carle,Penguin Random House,,
Elon Books,Elon Books,X,
Thomas Nelson,HarperCollins,,
Hopscotch Girls,Hopscotch Girls,X,
Amber-Allen Publishing Incorporated,Amber-Allen Publishing Incorporated ,X,
Cartwheel Books,Scholastic,,
Farrar Straus and Giroux,Holtzbrink,,
Ten Speed Press,Penguin Random House,,
Arthur A. Levine Books,Scholastic,,
National Geographic Kids,National Geographic Kids,X,
On The Hop Books Ltd,On The Hop Books Ltd,X,
Morrow Gift,HarperCollins,,
Wizards of the Coast,Hasbro,X,
Celadon Books,Holtzbrink,,
Harper Perennial,HarperCollins,,
Running Press Adult,Perseus Books Group,,
Lioncrest Publishing,Lioncrest Publishing ,X,
Dell,Penguin Random House,,
Henry Holt and Co. (BYR),Holtzbrink,,
Adams Media,Simon & Schuster,,
Scribner,Simon & Schuster,,
Castle Point Books,Holtzbrink,,
Plata Publishing,Plata Publishing,X,
Anchor,Anchor,X,
Scholastic Inc.,Scholastic,,
June & Lucy,June & Lucy,X,
Carson Dellosa Education,Carson Dellosa Education,X,
Genius Press,Genius Press,X,
Grand Central Publishing,Hachette Livre,,
Brilliance Audio,Amazon,X,Audiobook
Avery,Penguin Random House,,
American Psychological Association,American Psychological Association,X,
"Little, Brown and Company",Hachette Livre,,
W. W. Norton & Company,W.W. Norton,X,
Gallup Press,Gallup Press,X,
Random House Canada,Penguin Random House,,
Henry Holt and Co.,Holtzbrink,,
IVP Books,InterVarsity Christioan Fellowship,X,
Harper Paperbacks,HarperCollins,,
Day Drankin' Press,Day Drankin' Press,X,
Sourcebooks Explore,Sourcebooks,,
Firefly Books,Firefly Books,X,
Harper & Row,HarperCollins,,
Dial Books,Penguin Random House,,
Pocket Books,Simon & Schuster,,
William Morrow Cookbooks,HarperCollins,,
Greystone Books,Greystone Books,X,
Atria Books,Simon & Schuster,,
American Girl,American Girl,X,
Imagine That,Imagine That,X,
Victory Belt Publishing,Victory Belt Publishing,X,
Speak,Penguin Random House,,
Try Not to Laugh Challenge Group,Try Not to Laugh Challenge Group,X,
Henry Holt and Company,Holtzbrink,,
Chronicle Books,McEvoy Group,X,
Amulet Books,La Martinière Groupe,,
Priddy Books US,Holtzbrink,,
Tantor Audio,RBMedia,X,Audiobook
Harper Design,HarperCollins,,
Balzer + Bray,HarperCollins,,
Square Fish,Holtzbrink,,
Andrews McMeel Publishing,Andrews McMeel Universal,X,
Ecco,HarperCollins,,
Harper Wave,HarperCollins,,
Ballantine Books,Penguin Random House,,
Thorndike Press Large Print,Cengage Learning Holdings II LP,,
Knopf Books for Young Readers,Penguin Random House,,
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,,
Lake Union Publishing,Amazon,X,
Revell,Baker Publishing Group,X,
College Board,College Board,X,
William Morrow Paperbacks,HarperCollins,,
St. Martin's Press,Holtzbrink,,
Broadside Books,HarperCollins,,
Signet Classic,Penguin Random House,,
Doubleday,Penguin Random House,,
Washington Square Press,Simon & Schuster,,
Windblown Media,Windblown Media,X,
Knopf,Penguin Random House,,
Rodale Books,Penguin Random House,,
Razorbill,Penguin Random House,,
Golden Books,Penguin Random House,,
Little Brown and Company,Hachette Livre,,
Vintage,Penguin Random House,,
Berkley,Berkley,X,
Philomel Books,Penguin Random House,,
Tim Duggan Books,Portfolio,,
Harper Business,HarperCollins,,
Disney-Hyperion,Disney,X,
Ember,Ember,X,
Portfolio,Penguin Random House,,
Scholastic Children's Books,Scholastic,,
Twelve,Hachette Livre,,
New Castle P&P,New Castle P&P,X,
Applewood Books,Applewood Books,X,
Hill and Wang,Holtzbrink,,
St. Martin's Griffin,Holtzbrink,,
Jossey-Bass,Wiley,,
B&H Books,B&H Publishing Group,X,
Center Street,Hachette Livre,,
Quirk Books,Quirk Books,X,
TalentSmart,TalentSmartEQ,X,
Candlewick,TrustBridge Global Media,X,
Design Originals,Design Originals,X,
Time-Warp Wife Ministries,Time-Warp Wife,X,
Dover Publications,LSC Communications,X,
Laurence King Publishing,Hachette Livre,,
Everything,Everything,X,
HMH Books for Young Readers,Houghton Mifflin Harcourt,,
Harper Perennial Modern Classics,HarperCollins,,
Blue Star Coloring,Blue Star Coloring,X,
Savanna Magic,Savanna Magic,X,
Broadway Books,Penguin Random House,,
Atul Gawande,Holtzbrink,,
DK Children,Penguin Random House,,
Zack Zombie Publishing,Zack Zombie Publishing,X,
Random House Trade Paperback,Penguin Random House,,
American Psychiatric Publishing,American Psychological Association,X,
Ghost Mountain Books,Ghost Mountain Books,X,
ZonderKidz,HarperCollins,,
Random House Trade Paperbacks,Penguin Random House,,
McGraw-Hill Education,McGraw-Hill Education,,
Bantam,Penguin Random House,,
Golden/Disney,Disney,X,
Katherine Tegen Books,HarperCollins,,
Back Bay Books,Hachette Livre,,
Belknap Press,Harvard University,X,
William Morrow,HarperCollins,,
Little Brown Spark,Hachette Livre,,
Delacorte Press,Penguin Random House,,
Dey Street,HarperCollins,,
Scholastic,Scholastic,,
RH/Disney,Disney,X,
Wiley,Wiley,,
BenBella Books,BenBella Books,X,
Gallery Books,Simon & Schuster,,
HarperBusiness,HarperCollins,,
Crown Forum,Penguin Random House,,
Dark Horse Books,Dark Horse Books,X,
Sentinel,Penguin Random House,,
Howard Books,Simon & Schuster,,
Hard Case Crime,Hard Case Crime,X,
Vintage Books,Penguin Random House,,
Griffin,"Fantasy Publishing Company, Inc.",X,
Tor Science Fiction,Holtzbrink,,
Sphere,Hachette Livre,,
Zonderva,HarperCollins,,
Grand Central Life & Style,Hachette Livre,,
MTV Books,Simon & Schuster,,
Humanix Books,Newsmax Media,X,
Frontline,Frontline,X,
The Experiment,The Experiment,X,
Pearson,Pearson,,
Kaplan Publishing,Kaplan Publishing,X,
Bird Street Books,Bird Street Books,X,
Tor Books,Holtzbrink,,
DUTTON Books,Penguin Random House,,
Disney-Hyperio,Disney,X,
Zondervan,HarperCollins,,
Image Comics,Image Comics,X,
Free Press,Simon & Schuster,,
David C Cook,David C Cook,X,
Akashic Books,Akashic Books,X,
Picador,Holtzbrink,,
G. P. Putnam's Sons,Penguin Random House,,
Project Management Institute,Project Management Institute,X,
Ace,Penguin Random House,,
Random House Trade,Penguin Random House,,
"Little, Brown",Hachette Livre,,
Harmony,Penguin Random House,,
Simon & Schuste,Simon & Schuster,,
Algonquin Books,Workman Publishing Company,X,
Crown Archetype,Penguin Random House,,
Multnomah,Penguin Random House,,
Hachette Books,Hachette Livre,,
Vintage Crime,Penguin Random House,,
Crown Business,Penguin Random House,,
Prima Games,Asteri Holdings,X,
Random Hous,Penguin Random House,,
Guinness World Records,Jim Pattison Group,X,
Turtleback Books,Turtleback Books,X,
Vintage Crime/Black Lizard,Penguin Random House,,
,,,
